"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"12635","PGAP3",0.698056460217579,-0.786299569759585,0.081,0.129,1
"12636","CRLF1",0.69807510285548,2.50339766579346,0.037,0.007,1
"12637","TLCD3A",0.698296593817415,2.10129922222212,0.079,0.017,1
"12638","STAMBPL1",0.698323878710597,0.574052219357247,0.063,0.042,1
"12639","MYOM1",0.698650959139282,-1.49660233420654,0.002,0.011,1
"12640","PARP6",0.698875783509561,-0.679351376006434,0.104,0.155,1
"12641","TMEM255B",0.699259953838292,-2.33790458818748,0.01,0.055,1
"12642","MAST3",0.699417313493971,-0.72542102470242,0.044,0.073,1
"12643","BTBD9",0.699614314314673,-0.162096173239707,0.081,0.092,1
"12644","SAP30L-AS1",0.700280846180456,-0.387373264451781,0.01,0.014,1
"12645","PPP1R3D",0.700427776876624,-0.489312298276061,0.113,0.151,1
"12646","WDR70",0.700439755569049,-0.274209912870091,0.212,0.232,1
"12647","HES2",0.70054569157749,2.8153416721082,0.173,0.026,1
"12648","AC009831.1",0.701475137827988,1.66689639807634,0.012,0.004,1
"12649","AKNA",0.701534413575305,2.32754783039404,0.1,0.02,1
"12650","TCN2",0.701604488610678,-1.02016429026355,0.044,0.085,1
"12651","CLK2",0.701663829845213,-0.398237204363562,0.104,0.129,1
"12652","LINC01220",0.701702700140616,-0.384127604948126,0.008,0.01,1
"12653","AL691432.2",0.701715871864666,0.938613047009936,0.042,0.023,1
"12654","TTF1",0.701926173071792,0.444822839608002,0.3,0.213,1
"12655","DTX4",0.7019612571063,1.10853804845225,0.046,0.023,1
"12656","ZNF84",0.701993611689195,-0.486767974101963,0.167,0.213,1
"12657","AC010624.5",0.702494075167017,-0.530025335743989,0.013,0.022,1
"12658","AC055854.1",0.702687047168011,-1.47388225770645,0.002,0.01,1
"12659","JMJD4",0.702945193815044,-1.50674689161208,0.117,0.283,1
"12660","ATG9A",0.703464761381678,0.842332185986513,0.148,0.081,1
"12661","SLC5A2",0.703973134786433,1.61031286970997,0.012,0.004,1
"12662","ZNF571",0.70410498955496,0.685235988779274,0.108,0.065,1
"12663","OTUB2",0.704642927051395,-0.98426763357278,0.042,0.083,1
"12664","MEIOC",0.70471063169904,-1.47388225770645,0.002,0.01,1
"12665","ARL5B",0.704965313623782,1.44239659366154,0.385,0.176,1
"12666","TFAP2A-AS2",0.705090397053442,-0.151954162819093,0.046,0.05,1
"12667","FAM193B",0.705251281752896,0.140099136486239,0.104,0.091,1
"12668","AL645728.1",0.705257811856017,0.415934824543122,0.029,0.022,1
"12669","GIMAP7",0.705362068913184,3.20383738393455,0.019,0.002,1
"12670","ZNF845",0.705425086107971,-0.185614705149818,0.069,0.08,1
"12671","CACNA1I",0.705489660025517,0.415934824543122,0.01,0.008,1
"12672","AC018638.7",0.705754942791658,0.959077149569651,0.021,0.011,1
"12673","POLR3GL",0.705891645339546,-0.789630789344449,0.287,0.423,1
"12674","EXOC8",0.706186688583809,-1.14856357361832,0.129,0.257,1
"12675","UBL3",0.706250709238099,-2.05729023924788,0.319,0.737,1
