"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"80",3.51073084763354e-06,0.513272810796372,0.376,0.236,0.0451269343154816,1,"AC016074.2"
"81",3.61024091484136e-06,0.799504801174489,0.362,0.231,0.0464060367193708,1,"GIMAP5"
"82",7.93345791580585e-06,0.28319985786488,0.921,0.862,0.101976668049768,1,"RPS5"
"83",9.83615341161011e-06,0.262287967800643,0.956,0.891,0.126433915952836,1,"RPSA"
"84",1.1931414444934e-05,0.297823141500337,0.933,0.896,0.153366401275181,1,"RPL7"
"85",1.22821831036811e-05,0.46428586355169,0.385,0.253,0.157875181614717,1,"ARID5B"
"86",1.63663111760033e-05,0.666711205928662,0.382,0.253,0.210372563856347,1,"TLE5"
"87",2.20979435166493e-05,0.311873422385834,0.808,0.682,0.28404696596301,1,"RPL31"
"88",3.99357515639471e-05,0.591527080069184,0.431,0.307,0.513334150602976,1,"LDHB"
"89",4.4292211688574e-05,0.331682733194436,0.534,0.393,0.56933208904493,1,"TRBC2"
"90",4.59111295632881e-05,0.482873435654465,0.56,0.447,0.590141659406505,1,"SOD1"
"91",5.27293291200486e-05,0.432741913351865,0.472,0.334,0.677782796509105,1,"CD3D"
"92",6.58488982661709e-05,0.645110842214317,0.292,0.177,0.84642173831336,1,"SLA"
"93",6.63490397164241e-05,0.356528658888302,0.644,0.591,0.852850556514915,1,"HINT1"
"94",6.94514088517945e-05,0.800398689475808,0.289,0.177,0.892728409380967,1,"TCF7"
"95",7.78520517322241e-05,0.558272795435724,0.446,0.315,1,1,"LEPROTL1"
"96",0.000128312882454453,0.630455089772009,0.367,0.246,1,1,"SLFN5"
"97",0.000181332194421561,0.498731022434433,0.472,0.34,1,1,"IKZF1"
"98",0.000225313681283442,0.394669421458384,0.627,0.512,1,1,"COX4I1"
"99",0.000228176692931553,0.653683427390521,0.309,0.199,1,1,"IMP3"
"100",0.000390994646818958,0.258292453873488,0.831,0.747,1,1,"RPL36A"
"101",0.000524523597982656,0.541425799801754,0.344,0.231,1,1,"GPR171"
"102",0.000569231781566528,0.35075100733576,0.65,0.534,1,1,"SNHG29"
"103",0.000665712597814365,0.36286282243869,0.37,0.268,1,1,"KIF2A"
"104",0.000759101181358622,0.479975305338904,0.332,0.279,1,1,"FXYD5"
"105",0.000830790308855308,0.432741913351865,0.414,0.299,1,1,"FYB1"
"106",0.000962150187278442,0.665654462385508,0.309,0.21,1,1,"PCED1B-AS1"
"107",0.00101947898399758,0.311302025041361,0.746,0.661,1,1,"PFDN5"
"108",0.00211922952214504,0.427913649767761,0.324,0.232,1,1,"SSR2"
"109",0.00215259088460524,0.269950218163657,0.767,0.682,1,1,"EEF1D"
"110",0.0024740491590415,0.544852279673402,0.251,0.164,1,1,"KLF3"
"111",0.00354710255161052,0.374556207582488,0.294,0.208,1,1,"IER2"
"112",0.00437609618832437,0.321773806371157,0.446,0.357,1,1,"RPS27L"
"113",0.00649412562192763,0.494687562492472,0.338,0.246,1,1,"GSTK1"
"114",0.00830955635021157,0.434721070032655,0.417,0.323,1,1,"PSIP1"
"115",0.00832020432143235,0.297943322840074,0.472,0.377,1,1,"ARL6IP5"
"116",4.67896261495609e-56,1.26845309258676,0.958,0.604,6.01433854526456e-52,2,"IL7R"
"117",7.26115007644616e-26,2.28609941109015,0.299,0.058,9.3334823082639e-22,2,"KLRB1"
"118",6.03461418163763e-13,0.78101420440888,0.634,0.382,7.75689306907701e-09,2,"CD2"
"119",2.69428613535521e-12,0.657889331491446,0.785,0.614,3.46323539838559e-08,2,"ITM2B"
"120",3.07338091495743e-10,0.474754340950579,0.768,0.548,3.95052382808628e-06,2,"GIMAP7"
"121",5.79259008667507e-10,1.21052438646699,0.327,0.157,7.44579529741213e-06,2,"GIMAP1"
"122",2.48419865930218e-09,1.16891587171981,0.324,0.156,3.19318895666703e-05,2,"RORA"
"123",2.37066979519417e-08,1.19045131836313,0.268,0.136,0.000304725895474258,2,"GLIPR1"
"124",3.4616398598035e-08,0.968037688096751,0.398,0.226,0.000444959187579142,2,"GPR171"
"125",5.61228142793513e-08,0.348959647866055,0.764,0.612,0.000721402654746781,2,"S100A4"
"126",1.78816040264387e-07,0.995260249733301,0.257,0.12,0.00229850138155843,2,"PRKCQ-AS1"
"127",8.04657169101841e-07,1.03554295268455,0.282,0.144,0.0103430632516351,2,"TTC39C"
"128",1.17816672475365e-06,0.432591821590232,0.662,0.514,0.0151441550799835,2,"S100A10"
