"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1798","ASAH1",1.18794209491124e-211,5.69963829909212,0.912,0.028,2.68961969708853e-207,13,"ASAH1"
"1799","METRN5",3.65060454785182e-174,2.97634057115971,0.92,0.176,8.2653337567913e-170,13,"METRN"
"1800","COX6C4",2.76113328046859e-157,1.2887828093148,0.944,0.336,6.25148186030894e-153,13,"COX6C"
"1801","PPDPF5",3.10024354616417e-146,2.27005533723809,0.912,0.314,7.01926141287031e-142,13,"PPDPF"
"1802","FTH14",4.72573772765777e-145,1.50386659304428,0.976,0.924,1.069954278919e-140,13,"FTH1"
"1803","CFB",4.18127557931653e-114,4.70871505421128,0.544,0.031,9.46682603913055e-110,13,"CFB"
"1804","CD461",6.15267155690057e-109,3.07030206947009,0.744,0.118,1.39302636719786e-104,13,"CD46"
"1805","CST33",8.12202347278564e-109,2.68292988062509,0.88,0.187,1.8389073344734e-104,13,"CST3"
"1806","TMBIM4",3.28376070431658e-102,3.29035567770828,0.608,0.072,7.43476261064316e-98,13,"TMBIM4"
"1807","CYB5A2",1.65818734464167e-99,2.87243466914649,0.832,0.125,3.7543019670032e-95,13,"CYB5A"
"1808","UQCRQ3",4.09094026256593e-98,2.69322494290201,0.68,0.131,9.26229784847553e-94,13,"UQCRQ"
"1809","AGR23",1.15418179956957e-97,2.21308123212416,0.896,0.253,2.61318301240546e-93,13,"AGR2"
"1810","STEAP4",1.31972970973048e-95,5.56543750249273,0.576,0.02,2.98800003580079e-91,13,"STEAP4"
"1811","TMBIM65",1.45150314363334e-95,2.27271519261512,0.912,0.241,3.28634826750024e-91,13,"TMBIM6"
"1812","TCIM1",1.19055583965992e-94,3.92725013507727,0.88,0.078,2.69553747657403e-90,13,"TCIM"
"1813","NUCB22",9.4926942051624e-92,2.88375960690179,0.712,0.125,2.14924089499082e-87,13,"NUCB2"
"1814","ATP5F1E5",9.1793912255989e-86,1.56453929846083,0.92,0.375,2.07830596738785e-81,13,"ATP5F1E"
"1815","HIST1H2AC",6.62799066654636e-83,4.89868599785535,0.496,0.02,1.50064336681276e-78,13,"HIST1H2AC"
"1816","SHROOM1",9.65093816666141e-83,10.0861987507803,0.344,0,2.18506891031381e-78,13,"SHROOM1"
"1817","TCEAL42",6.65435297423315e-78,2.83427908988503,0.688,0.117,1.50661205689613e-73,13,"TCEAL4"
"1818","CLU3",1.45994740545577e-77,2.85758011944435,0.856,0.181,3.30546692069241e-73,13,"CLU"
"1819","MGST14",2.11833526431792e-77,1.57340581463006,0.904,0.414,4.79612287194219e-73,13,"MGST1"
"1820","TCEAL31",2.52122833135614e-73,3.2503965188896,0.536,0.083,5.70831306502344e-69,13,"TCEAL3"
"1821","AZGP14",4.88404171446787e-73,2.49578247368148,0.856,0.318,1.10579588457267e-68,13,"AZGP1"
"1822","TXNIP4",6.62010165336667e-73,2.67667878680045,0.64,0.196,1.49885721533875e-68,13,"TXNIP"
"1823","KRT185",1.44475432889845e-72,1.82013711819916,0.968,0.357,3.27106827605897e-68,13,"KRT18"
"1824","XBP13",1.68578613152526e-71,2.16728429835163,0.808,0.236,3.81678838038634e-67,13,"XBP1"
"1825","TSPAN13",2.27232061088717e-71,3.98434949682471,0.464,0.03,5.14476109510964e-67,13,"TSPAN13"
"1826","HLA-C3",2.67622147352851e-70,2.08327090155043,0.8,0.23,6.05923303821591e-66,13,"HLA-C"
"1827","MORF4L2",3.4969635538535e-68,3.28196413436864,0.544,0.07,7.9174751822797e-64,13,"MORF4L2"
"1828","HIST1H2BC",3.67231932221366e-68,8.71770383743853,0.304,0.001,8.31449817742395e-64,13,"HIST1H2BC"
"1829","CRABP22",5.77401093442123e-68,2.27215353179626,0.752,0.186,1.30729381566231e-63,13,"CRABP2"
