"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"208",2.43517844040674e-46,1.72396543032799,0.58,0.249,4.61393259103866e-42,3,"EIF1"
"209",2.38223585333085e-44,2.27402737875429,0.372,0.093,4.51362227130596e-40,3,"H2AFZ"
"210",1.74530924478404e-40,3.24966753211711,0.265,0.028,3.30683742609232e-36,3,"MRFAP1"
"211",6.47568761759197e-38,3.14583172113258,0.259,0.03,1.22694853290515e-33,3,"SAP18"
"212",3.21875711589347e-37,2.81673562543748,0.3,0.049,6.09857910748336e-33,3,"PHLDA2"
"213",2.47393742292756e-35,2.2805125860331,0.325,0.089,4.68736923522084e-31,3,"CALM2"
"214",1.14293170516133e-34,1.62971053983408,0.479,0.178,2.16551270176917e-30,3,"ANXA5"
"215",1.84122639791517e-33,2.56143777018859,0.284,0.049,3.48857165612988e-29,3,"COX6A1"
"216",8.5478563858879e-33,1.79966055764372,0.397,0.155,1.61956234943418e-28,3,"UBC"
"217",7.89346931323985e-31,2.6406714212587,0.259,0.043,1.49557563077955e-26,3,"ATP6V1G1"
"218",1.09978519044549e-26,1.48286670841015,0.457,0.182,2.08376300033707e-22,3,"CALM1"
"219",2.39598158574972e-26,2.33052467568458,0.281,0.064,4.53966631052e-22,3,"PPP1R15A"
"220",2.02920212626062e-22,1.65767629264972,0.331,0.107,3.844729268626e-18,3,"NCL"
"221",6.72843354171882e-20,1.5961330251822,0.312,0.105,1.27483630314946e-15,3,"CHCHD2"
"222",1.09545376398529e-19,1.5443564818241,0.322,0.118,2.07555624662293e-15,3,"SRP14"
"223",1.06591656047886e-18,1.55462481727793,0.297,0.117,2.0195921071393e-14,3,"UBB"
"224",3.60960381169441e-16,1.56439659390674,0.274,0.096,6.8391163420174e-12,3,"HNRNPA2B1"
"225",6.46321171971382e-16,0.402140263778056,0.984,0.957,1.22458472453418e-11,3,"MALAT1"
"226",1.16460968099127e-11,1.04098787374331,0.391,0.205,2.20658596257417e-07,3,"JUN"
"227",2.13450134909465e-11,1.35471522431985,0.297,0.136,4.04423970612964e-07,3,"TXNIP"
"228",4.2804302014246e-11,1.25679685636753,0.29,0.134,8.1101311026392e-07,3,"DDX5"
"229",8.50065934013339e-10,1.0019666971312,0.319,0.169,1.61061992517507e-05,3,"OAZ1"
"230",1.12142737662019e-08,0.917279147972485,0.42,0.278,0.000212476845048227,3,"C11orf96"
"231",3.86689420555935e-08,0.925712155785543,0.328,0.18,0.000732660445127329,3,"JUND"
"232",9.46047680964932e-08,0.975906719690263,0.262,0.134,0.00179247654112426,3,"PRDX1"
"233",7.11174274803988e-07,0.99073580000545,0.334,0.198,0.0134746189847112,3,"ADIRF"
"234",3.73456475822345e-06,0.747718006744626,0.271,0.17,0.0707587984740596,3,"NPM1"
"235",6.65889614541928e-06,0.255060790887334,0.612,0.481,0.126166105267259,3,"PTMA"
"236",0.00687213964733508,0.482582349477346,0.256,0.188,1,3,"RPS27L"
"237",3.94451817596963e-58,1.45154936848799,0.861,0.402,7.47367858800965e-54,4,"TMSB10"
"238",1.97293781892407e-50,0.627353876506437,0.926,0.49,3.73812528551544e-46,4,"TIMP1"
"239",1.11256741325616e-38,1.21904639345646,0.729,0.327,2.10798147789645e-34,4,"COL6A1"
"240",2.15713357252927e-37,1.77088035188932,0.506,0.166,4.08712097987121e-33,4,"ANXA2"
"241",5.74937239754709e-35,1.4339943876215,0.623,0.246,1.08933358816325e-30,4,"FN1"
"242",6.94244299016087e-35,1.28675638341187,0.639,0.273,1.31538467334578e-30,4,"COL6A3"
"243",5.13083932111366e-34,2.7474612868092,0.265,0.041,9.72140126171406e-30,4,"SFRP1"
"244",6.19641807047653e-31,1.20309481829793,0.635,0.288,1.17403533181319e-26,4,"COL6A2"
"245",1.36927292906483e-29,0.942251147451724,0.81,0.461,2.59436141869913e-25,4,"LGALS1"
"246",1.35553545117578e-27,0.825190091936368,0.877,0.68,2.56833301934275e-23,4,"MT-CO1"
"247",1.15104453723249e-25,0.680845786068869,0.89,0.686,2.1808840846944e-21,4,"RPS18"
"248",5.23800254288003e-25,1.42979906638278,0.432,0.175,9.92444341799478e-21,4,"CD59"
"249",6.18800345369746e-25,0.869415890189856,0.813,0.607,1.17244101437206e-20,4,"MT-CO3"
"250",1.0820045151454e-24,1.41302303066079,0.506,0.22,2.050073954846e-20,4,"S100A10"
"251",2.18153169857293e-24,0.959223931491086,0.781,0.462,4.13334810928613e-20,4,"S100A6"
"252",4.05422907355964e-24,2.27232416775105,0.252,0.052,7.68154782567345e-20,4,"DUSP6"
"253",1.61208319185615e-23,2.43379405875492,0.261,0.06,3.05441402360984e-19,4,"STC1"
"254",3.57042942479504e-23,1.12986205225138,0.555,0.261,6.76489263115916e-19,4,"COL1A2"
"255",5.25207474751331e-22,0.688799698858447,0.894,0.726,9.95110602411346e-18,4,"MT-CO2"
"256",9.69658887027871e-21,2.13592248793046,0.252,0.062,1.83721269325171e-16,4,"NBL1"
"257",2.60141083733569e-20,1.16437177015575,0.481,0.205,4.92889311349994e-16,4,"SH3BGRL3"
"258",2.62754668712959e-19,1.31091692945873,0.416,0.188,4.97841270810444e-15,4,"PPIB"
"259",4.70776510833468e-18,1.81847095425178,0.265,0.076,8.91980255076173e-14,4,"LY6E"
"260",2.66278162971151e-17,1.95052173769029,0.268,0.073,5.0451723538144e-13,4,"TUBB"
"261",4.54989687832458e-17,0.672753207693656,0.826,0.644,8.62068961536157e-13,4,"MT-CYB"
"262",8.2283956203582e-17,1.41207625476692,0.329,0.124,1.55903411818927e-12,4,"EMP1"
"263",1.70199057906397e-16,2.15809279325227,0.261,0.095,3.2247615501525e-12,4,"APOD"
"264",9.23433997156095e-16,0.740233429338994,0.719,0.539,1.74963039441165e-11,4,"MT-ND4"
"265",1.40463825859639e-15,0.530231946207696,0.768,0.6,2.66136810856257e-11,4,"RPL13A"
"266",7.0818540679582e-15,1.53442089210137,0.29,0.102,1.34179889025604e-10,4,"PKM"
"267",9.40484220845405e-15,1.13026982161825,0.448,0.223,1.78193545323579e-10,4,"IER3"
"268",1.80212833590921e-14,0.845496792021731,0.681,0.456,3.41449255804719e-10,4,"CD63"
"269",7.14637492756371e-14,1.65506768250231,0.313,0.106,1.3540236575255e-09,4,"TMEM158"
"270",7.48421061833675e-14,1.2821432287815,0.294,0.112,1.41803338585626e-09,4,"S100A16"
"271",2.46376450578276e-13,1.45406482771409,0.355,0.147,4.66809460910659e-09,4,"CHI3L1"
"272",4.19070508264182e-13,0.535939574366,0.774,0.586,7.94012892008146e-09,4,"RPL17"
"273",4.56738379409452e-13,0.567429480034594,0.739,0.527,8.6538220746709e-09,4,"RPL28"
"274",4.64616292865238e-12,0.905961665319678,0.416,0.214,8.80308490091767e-08,4,"TPM2"
"275",8.80547980461766e-12,1.16046467219325,0.313,0.152,1.66837425858091e-07,4,"CALR"
"276",4.25542840998616e-11,1.06460465678573,0.387,0.192,8.06276020840077e-07,4,"ITGB1"
"277",4.37280012455433e-11,0.935159417841699,0.4,0.238,8.28514439599309e-07,4,"HSP90B1"
"278",4.69723005978633e-11,0.566918325251395,0.677,0.467,8.89984179427715e-07,4,"RPS24"
"279",4.72480067112279e-11,0.932177993485347,0.323,0.157,8.95207983157635e-07,4,"FGF7"
"280",7.38632947555451e-11,1.07940933321552,0.403,0.207,1.39948784573331e-06,4,"COL1A1"
"281",8.25621741493945e-11,0.841524850392687,0.4,0.278,1.56430551360858e-06,4,"IGFBP4"
"282",2.03980787591013e-10,0.478851937870545,0.8,0.627,3.86482398248693e-06,4,"RPS12"
"283",6.99449343777491e-10,0.930982826070479,0.41,0.222,1.32524667165521e-05,4,"MIF"
"284",8.03179935970614e-10,0.770573986809026,0.51,0.31,1.52178502468352e-05,4,"ACTG1"
"285",8.51759405119428e-10,0.472379918508566,0.842,0.722,1.61382854487978e-05,4,"MT-ATP6"
"286",1.04717121079186e-09,0.470494690402667,0.755,0.579,1.98407529308733e-05,4,"RPS14"
"287",1.50281523324305e-09,1.00247814840358,0.287,0.145,2.84738402242561e-05,4,"RPS29"
"288",3.97959979963968e-09,0.938755425980675,0.377,0.223,7.54014774037731e-05,4,"S100A11"
"289",4.64135469088285e-09,0.882671986892123,0.252,0.124,8.79397473281574e-05,4,"HTRA1"
"290",4.90050146996409e-09,0.525288700776481,0.642,0.472,9.28498013514096e-05,4,"RPS3"
"291",5.84791215216365e-09,0.445694824141236,0.7,0.52,0.000110800391547045,4,"RPS6"
"292",6.50836600786649e-09,0.77776948821323,0.365,0.227,0.000123314010751046,4,"PDGFRB"
"293",7.56208271062932e-09,0.725700768070392,0.265,0.147,0.000143278781118294,4,"BGN"
"294",2.6823737467783e-08,1.07297569492644,0.365,0.191,0.000508229353802085,4,"S100A4"
"295",4.19732585021845e-08,0.822494842802363,0.371,0.207,0.000795267328840889,4,"RPL35"
"296",5.5535836368016e-08,1.39969695314436,0.284,0.124,0.0010522374916648,4,"TFPI2"
"297",2.37526754193644e-07,0.552541023028779,0.516,0.348,0.00450041941170698,4,"RPL12"
"298",3.88104652708616e-07,0.769494932876232,0.371,0.218,0.00735341885487014,4,"NME2"
"299",5.70177788431797e-07,0.384404427144587,0.742,0.602,0.0108031585574173,4,"EEF1A1"
"300",7.6856242294238e-07,0.809390231646367,0.297,0.177,0.0145619522274893,4,"EEF1B2"
"301",8.26693324001236e-07,0.778616985764999,0.387,0.228,0.0156633584098514,4,"COL3A1"
"302",1.26762050807791e-06,0.380975663205211,0.716,0.564,0.0240176057665521,4,"RPS23"
"303",1.74313038755921e-06,0.706185541321551,0.361,0.227,0.0330270914530843,4,"RPSA"
"304",1.81734099686166e-06,1.36440091090058,0.252,0.149,0.0344331598675379,4,"IGFBP5"
"305",2.13428452686033e-06,0.613334244997829,0.377,0.247,0.0404382889304227,4,"RPL37A"
"306",3.17817961936196e-06,0.776350464944199,0.448,0.29,0.060216969248051,4,"MT2A"
"307",3.66333838425096e-06,0.606275594595591,0.397,0.265,0.0694092723664029,4,"RPLP2"
"308",1.6919038718887e-05,0.258034842810432,0.803,0.694,0.320565026606753,4,"RPL10"
"309",1.69978751342888e-05,0.294755642357163,0.752,0.705,0.322058740169369,4,"RPS2"
"310",1.89655191934414e-05,0.643735541242377,0.348,0.23,0.359339692158135,4,"RPS17"
"311",3.82035790750319e-05,0.528407053736789,0.41,0.316,0.723843212734629,4,"MT-ND3"
"312",6.00896777748388e-05,0.458393868473226,0.394,0.281,1,4,"RPL10A"
"313",8.57242944035928e-05,0.263034405833794,0.571,0.46,1,4,"RPLP0"
"314",0.000107107622786377,0.421418017383626,0.481,0.355,1,4,"RPS9"
"315",0.000152772012432011,0.606795961005397,0.326,0.214,1,4,"RPL36"
"316",0.000295181759776708,0.488771679643313,0.384,0.266,1,4,"RPL39"
"317",0.000609968923891258,0.259322268043698,0.723,0.598,1,4,"RPL41"
"318",0.000778109557020805,0.375419911860731,0.252,0.178,1,4,"SPARC"
"319",0.0022163792562258,0.482717539912256,0.303,0.216,1,4,"RPL37"
"320",0.00285494298417059,0.476692017192633,0.358,0.249,1,4,"SERF2"
"321",0.0030241306440714,0.327020339453766,0.635,0.52,1,4,"RPS27A"
"322",0.00398467089374277,0.315725829305879,0.329,0.281,1,4,"RPS5"
"323",0.00501657320935422,0.463410916731743,0.432,0.315,1,4,"ACTB"
"324",1.7206918253057e-78,1.56388061946184,1,0.775,3.26019480140671e-74,5,"FTH1"
"325",1.81420736277266e-65,3.82937000653466,0.508,0.042,3.43737869024536e-61,5,"MMP2"
"326",3.34012183388553e-50,4.26461107653668,0.365,0.021,6.32852883866292e-46,5,"BASP1"
"327",1.31257298400369e-45,1.44571210224368,0.917,0.469,2.48693203279179e-41,5,"S100A6"
"328",1.02800064548852e-42,1.31544555394212,0.972,0.674,1.94775282300709e-38,5,"FTL"
"329",1.57488939014685e-41,2.56882438352489,0.536,0.1,2.98394292751123e-37,5,"TMEM158"
